date,USD_2Y_OIS,JPY_2Y_OIS,OIS_spread,USD_2Y2Y,JPY_2Y2Y,Forward_spread
2026-06-18,0.0365217363606946,0.0107749722690146,0.0257467640916799,0.0322997610989199,0.0152399613907072,0.0170597997082126
2026-06-19,0.0365331184409662,0.0107750676025806,0.0257580508383856,0.0322883252587991,0.0152456529614382,0.0170426722973608
2026-06-20,0.0365157413268208,0.0107680268378653,0.0257477144889555,0.0322916055222974,0.0152586850048148,0.0170329205174826
2026-06-21,0.0364983394967848,0.0107760086958881,0.0257223308008966,0.0322948999884231,0.0152639770053801,0.0170309229830429
2026-06-22,0.0364809129128649,0.0107839817093393,0.0256969312035255,0.0322982086189223,0.0152692681587527,0.0170289404601695
2026-06-23,0.0364751956251707,0.010787481920865,0.0256877137043056,0.0323042257408778,0.015265636318253,0.0170385894226248
2026-06-24,0.0364688571504685,0.0107910548394589,0.0256778023110095,0.0323100474702924,0.0152620601955282,0.0170479872747641
2026-06-25,0.0365044219296406,0.0107750202963192,0.0257294016333213,0.0323037981330314,0.0152573171437573,0.017046480989274
2026-06-26,0.0365044238099201,0.0107750063318374,0.0257294174780826,0.0323042000056836,0.0152630660413699,0.0170411339643137
2026-06-27,0.0365155674746997,0.0107681692165746,0.0257473982581251,0.0322917921633167,0.0152585969469112,0.0170331952164055
2026-06-28,0.0364981914104258,0.0107761181328063,0.0257220732776195,0.0322950556251167,0.0152639035692574,0.0170311520558592
2026-06-29,0.0364807916459717,0.0107840614349743,0.0256967302109973,0.0322983335145867,0.0152692092205439,0.0170291242940427
2026-06-30,0.0364751954524322,0.0107875151217207,0.0256876803307115,0.0323042242663453,0.0152656052236404,0.0170386190427049
2026-07-01,0.0365217760426808,0.0107910548394589,0.0257307212032218,0.0322995185444321,0.0152620601955282,0.0170374583489039
2026-07-02,0.0365217087985199,0.0107750165399729,0.0257466922585469,0.0322997979077912,0.0152399410302179,0.0170598568775732
2026-07-03,0.0365330969577668,0.0107751061394638,0.0257579908183029,0.0322883810299041,0.0152456356267534,0.0170427454031507
2026-07-04,0.0365157178021733,0.0107681009713427,0.0257476168308306,0.032291653289866,0.015258660492923,0.017032992796943
2026-07-05,0.036498315435937,0.0107760618335333,0.0257222536024037,0.0322949398184644,0.0152639565604275,0.0170309832580368
2026-07-06,0.0364808898323756,0.0107840168697681,0.0256968729626074,0.0322982405793024,0.0152692517462325,0.0170289888330699
2026-07-07,0.0364751956251707,0.0107875263411814,0.0256876692839893,0.0323042257408778,0.0152655947060125,0.0170386310348653
2026-07-08,0.03646894218584329,0.010791059732525143,0.025677882453318146,0.032310043212361084,0.015262055184817491,0.017047988027543592
