date,USD_2Y_OIS,JPY_2Y_OIS,OIS_spread,USD_2Y2Y,JPY_2Y2Y,Forward_spread
2026-06-18,0.0365217363606946,0.0107749722690146,0.0257467640916799,0.0322997610989199,0.0152399613907072,0.0170597997082126
2026-06-19,0.0365331184409662,0.0107750676025806,0.0257580508383856,0.0322883252587991,0.0152456529614382,0.0170426722973608
2026-06-20,0.0365157413268208,0.0107680268378653,0.0257477144889555,0.0322916055222974,0.0152586850048148,0.0170329205174826
2026-06-21,0.0364983394967848,0.0107760086958881,0.0257223308008966,0.0322948999884231,0.0152639770053801,0.0170309229830429
2026-06-22,0.0364809129128649,0.0107839817093393,0.0256969312035255,0.0322982086189223,0.0152692681587527,0.0170289404601695
2026-06-23,0.0364751956251707,0.010787481920865,0.0256877137043056,0.0323042257408778,0.015265636318253,0.0170385894226248
2026-06-24,0.0364688571504685,0.0107910548394589,0.0256778023110095,0.0323100474702924,0.0152620601955282,0.0170479872747641
2026-06-25,0.0365044219296406,0.0107750202963192,0.0257294016333213,0.0323037981330314,0.0152573171437573,0.017046480989274
2026-06-26,0.0365044238099201,0.0107750063318374,0.0257294174780826,0.0323042000056836,0.0152630660413699,0.0170411339643137
2026-06-27,0.0365155674746997,0.0107681692165746,0.0257473982581251,0.0322917921633167,0.0152585969469112,0.0170331952164055
2026-06-28,0.0364981914104258,0.0107761181328063,0.0257220732776195,0.0322950556251167,0.0152639035692574,0.0170311520558592
2026-06-29,0.0364807916459717,0.0107840614349743,0.0256967302109973,0.0322983335145867,0.0152692092205439,0.0170291242940427
2026-06-30,0.0364751954524322,0.0107875151217207,0.0256876803307115,0.0323042242663453,0.0152656052236404,0.0170386190427049
2026-07-01,0.0365217760426808,0.0107910548394589,0.0257307212032218,0.0322995185444321,0.0152620601955282,0.0170374583489039
2026-07-02,0.0365217087985199,0.0107750165399729,0.0257466922585469,0.0322997979077912,0.0152399410302179,0.0170598568775732
2026-07-03,0.0365330969577668,0.0107751061394638,0.0257579908183029,0.0322883810299041,0.0152456356267534,0.0170427454031507
2026-07-04,0.0365157178021733,0.0107681009713427,0.0257476168308306,0.032291653289866,0.015258660492923,0.017032992796943
2026-07-05,0.036498315435937,0.0107760618335333,0.0257222536024037,0.0322949398184644,0.0152639565604275,0.0170309832580368
2026-07-06,0.0364808898323756,0.0107840168697681,0.0256968729626074,0.0322982405793024,0.0152692517462325,0.0170289888330699
2026-07-07,0.0364751956251707,0.0107875263411814,0.0256876692839893,0.0323042257408778,0.0152655947060125,0.0170386310348653
2026-07-08,0.0364689421858432,0.0107910597325251,0.0256778824533181,0.032310043212361,0.0152620551848174,0.0170479880275435
2026-07-09,0.0365043987654043,0.0107749655749043,0.0257294331905,0.0323027858005635,0.0152341463495828,0.0170686394509806
2026-07-10,0.0365043446980568,0.010775133979205,0.0257292107188518,0.032303044465652,0.0152397822670224,0.0170632621986295
2026-07-11,0.0365157178021733,0.0107646366856148,0.0257510811165584,0.032291653289866,0.0152564242259938,0.0170352290638722
2026-07-12,0.036498315435937,0.0107725877193525,0.0257257277165845,0.0322949398184644,0.0152617344387939,0.0170332053796704
2026-07-13,0.0364808898323756,0.0107805329583414,0.0257003568740341,0.0322982405793024,0.0152670438312898,0.0170311967480125
2026-07-14,0.0364751708953676,0.010784039119386,0.0256911317759815,0.0323042487400686,0.0152692191855225,0.017035029554546
2026-07-15,0.0364689208447324,0.0107875419063532,0.0256813789383791,0.032310061069454,0.0152657052585858,0.0170443558108681
2026-07-16,0.0365043987654043,0.0107671317551383,0.025737267010266,0.0323027858005635,0.0152403930103379,0.0170623927902255
2026-07-17,0.0365043446980568,0.0107601343367818,0.025744210361275,0.032303044465652,0.0152533635444638,0.0170496809211881
2026-07-18,0.0365157178021733,0.0107636013736163,0.025752116428557,0.032291653289866,0.0152497538646565,0.0170418994252095
2026-07-19,0.036498315435937,0.0107715791948317,0.0257267362411053,0.0322949398184644,0.0152550385030869,0.0170399013153774
2026-07-20,0.0364808898323756,0.0107795504635412,0.0257013393688343,0.0322982405793024,0.0152603222896332,0.0170379182896691
2026-07-21,0.0364751956251707,0.0107875151217207,0.02568768050345,0.0323042257408778,0.0152656052236404,0.0170386205172374
2026-07-22,0.0364689371946429,0.0107910548394589,0.0256778823551839,0.0323100464348351,0.0152620601955282,0.0170479862393069
2026-07-23,0.0365043987654043,0.0107750165399729,0.0257293822254314,0.0323027858005635,0.0152399410302179,0.0170628447703455
2026-07-24,0.0365043446980568,0.0107751061394638,0.0257292385585929,0.032303044465652,0.0152456356267534,0.0170574088388986
2026-07-25,0.0365157178021733,0.0107681009713427,0.0257476168308306,0.032291653289866,0.015258660492923,0.017032992796943
2026-07-26,0.036498315435937,0.0107760618335333,0.0257222536024037,0.0322949398184644,0.0152639565604275,0.0170309832580368
2026-07-27,0.0364808898323756,0.0107840168697681,0.0256968729626074,0.0322982405793024,0.0152692517462325,0.0170289888330699
2026-07-28,0.0364752692227836,0.0107874825492266,0.0256877866735569,0.0323041622802193,0.015265641724913,0.0170385205553063
2026-07-29,0.0364698981432967,0.0107909674166175,0.0256789307266791,0.0323100593391174,0.0152620178151958,0.0170480415239215
2026-07-30,0.0365043987654043,0.0107750108456508,0.0257293879197535,0.0323027858005635,0.0152399443026973,0.0170628414978661
2026-07-31,0.0365043446980568,0.0107750672997855,0.0257292773982713,0.032303044465652,0.0152456360196324,0.0170574084460195
2026-08-01,0.0365157240483933,0.0107681009713427,0.0257476230770505,0.0322916542040729,0.015258660492923,0.0170329937111499
2026-08-02,0.0364983193965138,0.0107760618335333,0.0257222575629805,0.0322949405800794,0.0152639565604275,0.0170309840196518
2026-08-03,0.0364808919332311,0.0107840168697681,0.0256968750634629,0.0322982411897363,0.0152692517462325,0.0170289894435038
2026-08-04,0.0364751982872584,0.0107875151217207,0.0256876831655377,0.0323042261769332,0.0152656052236404,0.0170386209532928
2026-08-05,0.0364689406087244,0.0107910548394589,0.0256778857692654,0.0323100466374981,0.0152620601955282,0.0170479864419699
2026-08-06,0.0365043987654043,0.0107750077622126,0.0257293910031917,0.0323027858005635,0.015234225978457,0.0170685598221065
2026-08-07,0.0365043556661508,0.0107601131393542,0.0257442425267966,0.032303038303044,0.0152475727173522,0.0170554655856918
2026-08-08,0.0365157178021733,0.0107636013736163,0.025752116428557,0.032291653289866,0.0152497538646565,0.0170418994252095
2026-08-09,0.036498315435937,0.0107715791948317,0.0257267362411053,0.0322949398184644,0.0152550385030869,0.0170399013153774
2026-08-10,0.0364808898323756,0.0107795504635412,0.0257013393688343,0.0322982405793024,0.0152603222896332,0.0170379182896691
2026-08-11,0.0364751708953676,0.0107830618905535,0.0256921090048141,0.0323042487400686,0.0152567969443124,0.0170474517957561
2026-08-12,0.0364689208447324,0.0107910548394589,0.0256778660052734,0.032310061069454,0.0152620601955282,0.0170480008739257
2026-08-13,0.0365043987654043,0.0107750165399729,0.0257293822254314,0.0323027858005635,0.0152399410302179,0.0170628447703455
2026-08-14,0.0365043446980568,0.0107751061394638,0.0257292385585929,0.032303044465652,0.0152456356267534,0.0170574088388986
2026-08-15,0.0365157178021733,0.0107681458612332,0.0257475719409401,0.032291653289866,0.0152586564253045,0.0170329968645615
2026-08-16,0.036498315435937,0.0107760920383646,0.0257222233975724,0.0322949398184644,0.0152639531634226,0.0170309866550417
2026-08-17,0.0364808898323756,0.010784034914415,0.0256968549179605,0.0322982405793024,0.0152692490161385,0.0170289915631638
